"Q-kode","churchLabel","latitude","longitude","kommune","stift","sogn","wikilink","opført","opført_tal"
"Q12341256","Vor Frelsers Kirke",55.86215,9.85183,"Horsens Kommune","Århus Stift","Vor Frelsers Sogn","https://da.wikipedia.org/wiki/Vor_Frelsers_Kirke_(Horsens)","1225",1225
"Q12341257","Vor Frelsers Kirke",55.39592,10.42299,"Odense Kommune","Fyens Stift","Korsløkke Sogn","https://da.wikipedia.org/wiki/Vor_Frelsers_Kirke_(Odense_Kommune)","1909",1909
"Q12341258","Vor Frelsers Kirke",55.46755,8.44889,"Esbjerg Kommune","Ribe Stift","Vor Frelsers Sogn","https://da.wikipedia.org/wiki/Vor_Frelsers_Kirke_(Esbjerg)","1887",1887
"Q12341259","Vor Frelsers Kirke",NA,NA,"Assens Kommune","Bispedømmet København","","https://da.wikipedia.org/wiki/Vor_Frelsers_Kirke_(Assens_Kommune)","1926-27",1926
"Q12341263","Flødstrup Kirke",55.38415,10.66801,"Nyborg Kommune","Fyens Stift","Flødstrup Sogn","https://da.wikipedia.org/wiki/Vor_Frue_Kirke_(Fl%C3%B8dstrup)","1150",1150
"Q12341266","Notmark Kirke",54.97977,9.93104,"Sønderborg Kommune","Haderslev Stift","Notmark Sogn","https://da.wikipedia.org/wiki/Notmark_Kirke","Omkring 1200",1200
"Q12341267","Vor Frue Kirke",55.4047,11.3517,"Slagelse Kommune","Bispedømmet København","","https://da.wikipedia.org/wiki/Vor_Frue_Kirke_(Slagelse)",NA,NA
"Q12341268","Vor Frue Kirke",56.5649,9.02222,"Skive Kommune","Viborg Stift","Skive Sogn","https://da.wikipedia.org/wiki/Vor_Frue_Kirke_(Skive_Kommune)","o. 1200",1200
"Q12341269","Oksbøl Kirke",55.03788,9.75826,"Sønderborg Kommune","Haderslev Stift","Oksbøl Sogn","https://da.wikipedia.org/wiki/Vor_Frue_Kirke_(Oksb%C3%B8l_Sogn)","1100-tallet",1150
"Q12341270","Vor Frue Kirke",56.15152,10.20436,"Aarhus Kommune","Bispedømmet København","","https://da.wikipedia.org/wiki/Vor_Frue_Kirke_(katolsk_kirke_i_Aarhus)",NA,NA
"Q12341272","Vor Frue Kirke",55.06024,10.60992,"Svendborg Kommune","Fyens Stift","Vor Frue Sogn","https://da.wikipedia.org/wiki/Vor_Frue_Kirke_(Svendborg)","ca. 1250",1250
